ndvi_mean,ndvi_change_pct,rainfall_7d_mm,rainfall_30d_mm,temperature_avg_7d_c,humidity_avg_7d_pct,crop_type,crop_age_days,health
0.4103,-12.98,4.0,127.5,33.7,25.7,Soybean,118,0
0.0948,-37.13,8.7,134.0,32.89,56.0,Wheat,27,0
0.4904,-19.11,6.0,133.9,28.75,52.2,Soybean,87,1
0.7041,-18.2,21.2,116.6,30.83,61.2,Sugarcane,118,1
0.1828,7.97,9.7,120.8,34.64,53.3,Wheat,55,0
0.7209,-6.76,43.6,56.7,30.16,56.8,Rice,71,2
0.3122,7.67,31.7,104.5,32.16,33.1,Rice,37,0
0.1927,-8.96,67.4,67.4,33.84,29.8,Soybean,29,0
0.8215,10.27,49.8,72.6,26.69,67.9,Soybean,88,2
0.1721,-18.78,42.4,97.1,32.45,48.6,Rice,18,0
0.665,1.26,13.5,71.8,27.09,37.1,Wheat,123,2
0.306,49.44,41.2,123.3,28.51,48.7,Rice,31,0
0.0516,-20.82,5.1,110.0,24.47,49.3,Cotton,26,0
0.4587,-9.61,24.9,42.5,27.3,67.6,Sugarcane,72,1
0.0858,-59.52,0.0,93.6,26.35,58.5,Wheat,34,0
0.05,-69.71,34.5,101.0,35.8,67.5,Sugarcane,21,0
0.05,0.0,6.8,70.5,22.12,64.5,Sugarcane,33,0
0.3256,27.42,51.0,189.8,43.57,61.2,Wheat,119,0
0.4787,-0.67,19.6,59.4,28.3,71.0,Rice,56,1
0.05,-29.97,17.8,87.3,37.84,57.0,Cotton,25,0
0.05,-62.69,11.9,196.4,24.89,67.6,Cotton,15,0
0.6248,10.65,29.0,57.3,31.23,48.2,Sugarcane,82,2
0.8085,2.17,34.0,84.1,30.43,74.6,Soybean,114,2
0.3125,-24.86,68.4,99.2,22.88,34.5,Rice,23,0
0.3225,0.1,66.5,66.5,24.53,64.6,Sugarcane,35,0
0.1699,41.12,65.2,94.5,32.22,24.2,Rice,11,0
0.2001,3.04,21.6,135.8,22.37,55.5,Wheat,37,0
0.7921,-1.32,63.4,82.3,25.52,51.6,Wheat,102,2
0.05,0.0,35.7,215.9,38.38,42.2,Sugarcane,29,0
0.1719,58.96,60.1,60.1,25.73,22.8,Rice,12,0
0.5627,-22.42,16.8,46.2,28.53,28.6,Sugarcane,94,1
0.9171,-3.47,75.9,235.3,23.14,49.5,Rice,114,2
0.2313,6.59,49.4,111.7,27.12,53.0,Rice,30,0
0.0575,-42.99,16.1,113.6,34.06,57.3,Soybean,34,0
0.6161,0.87,37.9,85.1,39.47,78.6,Sugarcane,129,1
0.5774,-12.07,2.2,149.6,30.31,62.2,Rice,83,1
0.6423,-1.03,18.2,103.2,29.26,50.6,Cotton,147,1
0.7064,12.84,0.0,78.2,29.88,59.4,Rice,130,1
0.05,-44.4,0.0,133.2,27.36,54.1,Sugarcane,42,0
0.9019,-5.06,73.3,148.9,31.2,81.2,Sugarcane,138,2
0.5824,-16.06,12.6,139.5,23.11,66.7,Sugarcane,98,1
0.8541,-9.6,48.3,48.3,28.67,37.4,Sugarcane,111,2
0.761,-10.72,4.7,91.6,22.92,44.9,Rice,121,1
0.5343,6.73,37.6,93.6,31.07,79.2,Wheat,75,1
0.2518,-21.82,66.9,108.4,33.23,46.4,Sugarcane,26,0
0.905,-4.74,36.8,46.8,28.26,52.7,Rice,116,2
0.6582,-0.1,67.0,67.0,24.89,58.0,Sugarcane,63,2
0.4475,-23.76,51.0,117.7,40.64,51.9,Soybean,110,1
0.1163,-18.49,62.7,62.7,22.74,31.0,Wheat,11,0
0.483,-17.45,0.0,0.0,29.27,47.9,Sugarcane,119,0
